x,y,z
0.0,-2.0,-2.0
0.0,-1.7894736842105263,-2.0
0.0,-1.5789473684210527,-2.0
0.0,-1.368421052631579,-2.0
0.0,-1.1578947368421053,-2.0
0.0,-0.9473684210526316,-2.0
0.0,-0.736842105263158,-2.0
0.0,-0.5263157894736843,-2.0
0.0,-0.3157894736842106,-2.0
0.0,-0.10526315789473695,-2.0
0.0,0.10526315789473673,-2.0
0.0,0.3157894736842106,-2.0
0.0,0.5263157894736841,-2.0
0.0,0.7368421052631575,-2.0
0.0,0.9473684210526314,-2.0
0.0,1.1578947368421053,-2.0
0.0,1.3684210526315788,-2.0
0.0,1.5789473684210522,-2.0
0.0,1.789473684210526,-2.0
0.0,2.0,-2.0
0.0,-2.0,-1.7894736842105263
0.0,-1.7894736842105263,-1.7894736842105263
0.0,-1.5789473684210527,-1.7894736842105263
0.0,-1.368421052631579,-1.7894736842105263
0.0,-1.1578947368421053,-1.7894736842105263
0.0,-0.9473684210526316,-1.7894736842105263
0.0,-0.736842105263158,-1.7894736842105263
0.0,-0.5263157894736843,-1.7894736842105263
0.0,-0.3157894736842106,-1.7894736842105263
0.0,-0.10526315789473695,-1.7894736842105263
0.0,0.10526315789473673,-1.7894736842105263
0.0,0.3157894736842106,-1.7894736842105263
0.0,0.5263157894736841,-1.7894736842105263
0.0,0.7368421052631575,-1.7894736842105263
0.0,0.9473684210526314,-1.7894736842105263
0.0,1.1578947368421053,-1.7894736842105263
0.0,1.3684210526315788,-1.7894736842105263
0.0,1.5789473684210522,-1.7894736842105263
0.0,1.789473684210526,-1.7894736842105263
0.0,2.0,-1.7894736842105263
0.0,-2.0,-1.5789473684210527
0.0,-1.7894736842105263,-1.5789473684210527
0.0,-1.5789473684210527,-1.5789473684210527
0.0,-1.368421052631579,-1.5789473684210527
0.0,-1.1578947368421053,-1.5789473684210527
0.0,-0.9473684210526316,-1.5789473684210527
0.0,-0.736842105263158,-1.5789473684210527
0.0,-0.5263157894736843,-1.5789473684210527
0.0,-0.3157894736842106,-1.5789473684210527
0.0,-0.10526315789473695,-1.5789473684210527
0.0,0.10526315789473673,-1.5789473684210527
0.0,0.3157894736842106,-1.5789473684210527
0.0,0.5263157894736841,-1.5789473684210527
0.0,0.7368421052631575,-1.5789473684210527
0.0,0.9473684210526314,-1.5789473684210527
0.0,1.1578947368421053,-1.5789473684210527
0.0,1.3684210526315788,-1.5789473684210527
0.0,1.5789473684210522,-1.5789473684210527
0.0,1.789473684210526,-1.5789473684210527
0.0,2.0,-1.5789473684210527
0.0,-2.0,-1.368421052631579
0.0,-1.7894736842105263,-1.368421052631579
0.0,-1.5789473684210527,-1.368421052631579
0.0,-1.368421052631579,-1.368421052631579
0.0,-1.1578947368421053,-1.368421052631579
0.0,-0.9473684210526316,-1.368421052631579
0.0,-0.736842105263158,-1.368421052631579
0.0,-0.5263157894736843,-1.368421052631579
0.0,-0.3157894736842106,-1.368421052631579
0.0,-0.10526315789473695,-1.368421052631579
0.0,0.10526315789473673,-1.368421052631579
0.0,0.3157894736842106,-1.368421052631579
0.0,0.5263157894736841,-1.368421052631579
0.0,0.7368421052631575,-1.368421052631579
0.0,0.9473684210526314,-1.368421052631579
0.0,1.1578947368421053,-1.368421052631579
0.0,1.3684210526315788,-1.368421052631579
0.0,1.5789473684210522,-1.368421052631579
